Territorialidades;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Produto Interno Bruto per capita 2016;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Agropecuária no Valor Adicionado 2016;Participação da Indústria no Valor Adicionado 2014;Participação da Administração Pública no Valor Adicionado 2014;Participação dos Serviços no Valor Adicionado 2014;Rendimento médio no setor formal 2014;Esperança de vida ao nascer 2014;Média de anos de estudo 2014;% de 25 anos ou mais de idade com ensino superior completo 2014
Lagoa Grande do Maranhão (MA);5018;5499;3138;3,94;4,63;4,05;31,39;26,1;16,11;4,2;42,69;21,72;1078,02;;;
Lagoa Grande (MG);2223;6408;4035;15,11;14,13;14,67;41,28;36,02;41,9;9,04;18,74;30,94;906,61;;;
Lagoa Grande (PE);12344;10416;9327;8,27;7,49;7,33;37,32;36,81;33,53;4,59;33,36;24,73;874,61;;;
Lagoa Nova (RN);7182;6801;5268;8,02;6,16;10,12;4,28;5,68;3,82;30,05;44,88;20,79;1140,49;;;
Lagoão (RS);4530;1655;3305;10,13;9,94;9,6;49,12;48,95;49,15;3,74;31,99;15,15;1177,12;;;
Lagoa (PB);2377;2304;1216;4,94;4,88;4,76;4,29;4,33;4,33;4,31;68,5;22,89;856,25;;;
Lagoa Real (BA);11126;2808;5818;3,65;3,79;3,6;10,77;12,65;12,89;5,09;58,13;26;916,32;;;
Lagoa Salgada (RN);2559;5005;2391;4,72;5,08;4,72;6,1;6,47;6,39;3,27;70,45;20,18;1100,63;;;
Lagoa Santa (GO);478;776;600;18,37;18,57;17,3;31,05;34,64;36,92;9,79;26,55;32,61;1130,66;;;
Lagoa Santa (MG);3571;48949;27497;22,32;20,12;21,47;0,27;0,22;0,22;29,56;16,37;53,8;1470,98;;;
Lagoa Seca (PB);15330;10570;11594;6,17;6,25;6,13;15,18;14,98;15,47;5,85;52,84;26,14;960,22;;;
Lagoa Vermelha (RS);3389;24136;13479;25,48;23,23;23,44;17,54;19,74;23,07;23,1;12,2;47,16;1198,89;;;
Lago da Pedra (MA);16037;30046;14819;4,59;4,8;4,85;15,5;13,92;10,37;5,48;40,01;39,01;918,9;;;
Lago do Junco (MA);6816;3913;3666;3,88;3,87;4,18;19,63;16,27;14,26;5,3;50,84;24,23;983,13;;;
Lago dos Rodrigues (MA);2945;4849;2869;5,37;4,96;5,25;29,82;25,88;25,63;4,41;39,44;26,32;633,12;;;
Lagoinha do Piauí (PI);1074;1582;808;4,57;4,47;4,32;7,88;5,76;5,4;4,07;68,61;19,44;1121,81;;;
Lagoinha (SP);1703;3138;2251;8,12;7,93;7,72;11,61;11,39;14,71;8,17;38,94;41,28;1168,9;;;
Lago Verde (MA);10360;5052;5601;4,21;4,01;4,04;26,85;26,52;22,96;3,81;47,38;21,96;856,99;;;
Laguna Carapã (MS);3754;2737;2818;37,85;39,04;38,3;59,93;62,14;61,44;4,45;13,72;21,9;1451,46;;;
Laguna (SC);10907;40655;23776;13,3;12,25;11,57;8,52;9,94;9,57;16,44;22,17;52,87;1250,97;;;
Lajeado do Bugre (RS);1781;706;1284;11,72;11,05;12,66;45,5;46,44;51,63;3,32;33,99;17,19;1085,5;;;
Lajeado Grande (SC);842;648;758;22,32;17,25;17,34;38,65;45,74;43,52;21,23;21,71;18,42;1358,57;;;
Lajeado Novo (MA);3729;3194;2170;5,28;5,25;6;33,8;34,07;28,99;3,71;37,96;24,53;784,04;;;
Lajeado (RS);265;71180;42793;32,81;29,93;29,35;0,35;0,43;0,49;25,9;10,89;62,86;1379,87;;;
Lajeado (TO);607;2166;1231;12,49;13,1;12,59;3,26;3,61;3,61;21,36;52,26;23,12;1038,47;;;
Laje (BA);16121;6080;10241;5,89;6,56;6,29;18,14;15,23;21,72;5,32;40;36,54;1217,31;;;
Lajedão (BA);1657;2076;1551;14,19;15,25;9,68;35,06;36,64;48,53;19,38;20,46;25,1;961,72;;;
Lajedinho (BA);2691;1245;1488;9,78;8,81;8,84;9,79;9,75;10,05;4,84;29,59;55,79;1486,61;;;
Lajedo do Tabocal (BA);3156;5149;3396;5,82;5,82;5,47;28,73;25,98;25,89;10,43;37,19;23,65;738,34;;;
Laje do Muriaé (RJ);1850;5637;3432;13,58;12,45;12,12;9,24;8,35;7,35;17,71;47,52;25,53;856,86;;;
Lajedo (PE);10233;26395;15295;7,72;6,76;6,89;6,68;8,16;7,17;4,48;37,69;51,15;776,8;;;
Lajes Pintadas (RN);2222;2390;1743;5,68;5,63;5,45;4,3;4,36;4,35;11,23;67,04;17,43;994,11;;;
Lajes (RN);2313;8068;3906;6,7;6,5;6,45;2,15;2,33;2,03;6,74;51,98;39,13;1017,16;;;
Lajinha (MG);7359;12250;8511;9,42;10,03;10,45;13,76;17,44;17,84;4,37;30,83;51,04;1000,78;;;
Lamarão (BA);7475;2085;3579;3,44;3,56;3,58;7,13;9,27;7,83;5,94;64,2;22,73;1004,13;;;
Lambari D'Oeste (MT);2536;2895;2372;25,09;24,64;20,08;57,32;53,23;37,81;10,62;15,8;16,27;1598,38;;;
Lambari (MG);5518;14036;9627;10,64;10,14;10,63;11,43;7,01;12,75;11,16;25,24;52,17;1002,81;;;
Lamim (MG);1941;1511;1505;7,04;6,75;6,9;12,95;11,81;12,36;8,24;47,96;30,85;1023,8;;;
Landri Sales (PI);1324;3957;1375;8,82;10,89;7,06;36,83;49,27;28,99;10,46;33,22;19,49;797,81;;;
Lapão (BA);15596;10050;10282;4,58;4,81;4,57;13,43;17,01;16,77;11,02;45,7;29,85;1103,57;;;
Lapa (PR);17710;27222;21628;20,68;21,25;24,24;20,14;18,98;18,21;22,22;14,72;42,92;1312,98;;;
Laranja da Terra (ES);7298;3528;5531;7,94;7,58;7,74;23,97;22,68;28,44;7,52;42,02;26,49;1049,08;;;
Laranjal do Jari (AP);2038;37904;15655;9,84;8,4;11,12;1,94;2,17;1,66;5,67;62,43;29,96;1274,59;;;
Laranjal (MG);1727;4738;2906;7,17;7;6,98;20,31;17,35;20,3;5,62;39,08;34,99;925,77;;;
Laranjal Paulista (SP);2639;22612;13625;21,66;20,16;21,12;3,04;3,46;4,78;36,4;14,78;45,78;1258,46;;;
Laranjal (PR);4329;2031;2568;8,49;8,77;8,66;44,39;44;45,73;3,26;34,43;17,91;949,12;;;
Laranjeiras do Sul (PR);5746;25031;14500;14,37;14,32;14,32;15,75;14,89;16,2;14,32;20,16;49,76;1155,45;;;
Laranjeiras (SE);5645;21257;8945;28,47;26,94;22,61;2,18;2,36;2,18;57,69;16,22;23,92;2014,46;;;
Lassance (MG);2602;3882;2958;13,62;10,81;9,06;50,25;40,66;30,75;3,73;23,74;22,27;787,49;;;
Lastro (PB);1506;1335;907;5,52;5,79;5,72;5,4;5,3;5,57;3,78;68,08;22,75;920,48;;;
Laurentino (SC);1630;4374;3524;25,94;23,88;24,93;9,16;8,26;9,52;31,24;13,21;46,39;1324,28;;;
Lauro de Freitas (BA);;163449;85403;24,83;21,33;20,82;0,03;0,04;0,04;27,59;11,77;60,61;1022,87;;;
Lauro Muller (SC);3261;11106;6601;13,91;13,43;14,05;15,93;14,21;14,09;25,58;22,11;36,38;1472,9;;;
Lavandeira (TO);582;1023;746;6,98;7,61;7,95;28,06;26,1;26,73;3,91;55,8;12,23;720,36;;;
Lavínia (SP);4494;4285;2523;9,76;8,07;8,94;34,12;31,88;40,92;3,56;28,75;33,57;1180,33;;;
Lavras da Mangabeira (CE);12958;18132;9509;4,77;5,34;4,67;12,63;16,12;12,91;7,46;47,61;32,3;1007,86;;;
Lavras do Sul (RS);2921;4758;3577;18,79;20,42;20,97;51,17;51,76;53,66;3,09;20,57;25,17;1122,63;;;
Lavras (MG);4344;87856;46041;16,63;15,14;14,89;3,61;3,08;4,44;18,88;18,32;59,19;1510,64;;;
Lavrinhas (SP);541;6049;2481;11,77;10,05;9,79;5,2;4,59;5,28;30,62;26,44;37,74;1115,33;;;
Leandro Ferreira (MG);1053;2152;1548;8,45;7,88;8,02;23,01;18,81;18,99;8,4;40,64;27,95;1165,99;;;
Lebon Régis (SC);4316;7522;5051;12,57;12,89;13,4;41,5;43,58;44,96;6,76;22,85;28,89;941,3;;;
Leme do Prado (MG);3043;1761;1914;5,44;5,94;6,18;6,53;7,14;15,16;5,23;56,37;31,87;857,27;;;
Leme (SP);1894;89862;47388;20,34;20,15;19,47;2,34;2,58;3,23;27,67;15,23;54,76;1457,12;;;
Lençóis (BA);2331;8037;4574;6,51;7,09;6,55;5,74;10,76;8,87;7,31;36,2;50,74;1127,58;;;
Lençóis Paulista (SP);1377;60051;32018;25,86;23,19;24,45;3,88;3,52;4,39;30,67;12,13;53,31;1772,31;;;
Leoberto Leal (SC);2545;820;1792;17,44;15,42;16,1;42,42;38,7;39,73;7,6;21,56;28,43;1191,86;;;
Leopoldina (MG);5426;45704;23876;13,23;13,24;12,25;6,81;5,01;5,7;14,27;20,42;58,5;973,11;;;
Leopoldo de Bulhões (GO);3039;4843;3581;15,66;14,36;15,79;56,3;53,41;56,84;7,4;18,21;18,08;979,5;;;
Leópolis (PR);1744;2401;1854;15,85;18,39;19,18;50,5;55,38;57,27;4,59;22,42;22,48;1140,94;;;
Liberato Salzano (RS);4483;1297;3327;13,64;14,66;14,17;42,34;40,6;41,82;4,78;23,86;29,02;1140,51;;;
Liberdade (MG);1477;3869;2308;8,85;9,45;9,43;24,96;22,19;29,08;5,16;32,57;37,31;885,84;;;
Licínio de Almeida (BA);6058;6253;5452;4,92;5,28;5,17;10,62;9,45;11,59;4,44;44,48;40,46;833,28;;;
Lidianópolis (PR);1927;2046;1840;11,79;12,99;14,11;38,94;35,78;36,78;6,36;25,05;29,65;1047,51;;;
Lima Campos (MA);4630;6793;4439;4,94;9,68;7,54;16,29;8,22;8,94;6,35;45,11;32,25;977,4;;;
Lima Duarte (MG);3786;12363;7581;10,41;9,42;9,79;19,6;17,95;15,22;10,52;25,78;44,11;815,26;;;
Limeira do Oeste (MG);1873;5017;3232;22,4;27,24;27,97;39,03;25,17;31,01;16,84;16,27;27,86;1521,47;;;
Limeira (SP);8237;267785;143409;29,96;25,62;24,6;0,72;0,74;0,98;36,12;9,9;53,25;1738,76;;;
Limoeiro de Anadia (AL);24746;2246;9314;7,04;9,55;11,46;38,77;51,85;49,28;9,2;35,42;16,61;866,62;;;
Limoeiro do Ajuru (PA);18824;6197;9262;10,36;10,68;9,18;70,7;70,46;68,13;1,12;22,53;5,65;1089,82;;;
Limoeiro do Norte (CE);23781;32483;24096;11,03;10,15;10,52;27,92;25,98;32,25;8,25;21,93;41,9;1049,56;;;
Limoeiro (PE);10879;44560;22150;8,34;7,8;8,15;3,08;2,96;6,32;7,91;33,12;55,89;936,19;;;
Lindoeste (PR);2977;2384;2064;24,1;22,53;22,11;44,48;43,03;37,85;7,14;13,91;34,47;1068,93;;;
Lindóia do Sul (SC);2712;1930;2685;24,58;24,05;18,69;30,04;30,27;37,39;29,08;13,85;27,03;1056,55;;;
Lindóia (SP);;6712;3663;14,29;14,06;13,27;3,93;3,47;4,19;27,78;23;45,28;1374,67;;;
Lindolfo Collor (RS);940;4287;2956;43,05;38,48;36,86;1,63;1,68;1,9;65,38;8,82;24,16;1311,9;;;
Linha Nova (RS);1208;416;1097;19,45;20,31;22,18;54,53;56,65;57,98;8,45;21,83;15,19;1399,15;;;
Linhares (ES);19739;121567;71546;25,9;23,12;21,05;4,21;4,29;4,64;41,5;14,66;39,64;1303,11;;;
Lins (SP);835;70597;37046;33,82;38,6;36,56;2,15;1,59;2,6;39,42;7,77;50,65;1496,69;;;
Livramento de Nossa Senhora (BA);22163;20530;16510;6,64;6,35;6,2;23,76;16,41;16,14;8,24;29,36;38,65;837,05;;;
Livramento (PB);3412;3752;3020;4,78;4,76;4,81;5,68;6,14;5,37;3,32;70;21;861,45;;;
Lizarda (TO);1142;2583;961;5,59;5,89;5,87;12,25;18,27;20,62;2,31;72,01;13,43;959,18;;;
Loanda (PR);1927;19274;11002;15,46;14,77;14,4;9,09;8,78;9,4;22,12;19,12;49,67;1109,11;;;
Lobato (PR);296;4105;2397;21,71;23,44;24,9;27,89;26,65;28,96;22,44;17,06;32,62;1243,14;;;
Logradouro (PB);2219;1723;1522;5,25;5,21;5,23;9,57;10,57;11,06;2,99;66,26;21,19;984,76;;;
Londrina (PR);13181;493520;266450;23,85;23,37;22,16;1,58;1,54;1,49;20,15;13,53;64,74;1673,57;;;
Lontra (MG);2767;5630;3455;4,47;4,35;4,35;4,96;4,9;4,67;4,25;60,02;30,77;841,23;;;
Lontras (SC);3230;7014;5760;16,31;14,88;15,38;12,2;11,44;11,17;24,18;19,52;44,1;1255,3;;;
Lorena (SP);2364;80173;38775;17,85;17,03;17,83;0,81;0,58;0,54;31,73;14,55;52,91;1494,49;;;
Loreto (MA);5030;6360;3273;9,51;9,37;6,44;54,08;52,28;35,46;5,92;21,23;18,76;1210,82;;;
Lourdes (SP);384;1744;1077;10,5;10,47;11,12;23,2;26,05;33,72;7,24;42,1;27,46;1381,86;;;
Louveira (SP);1430;35695;21438;219,16;196,5;166,53;0,32;0,31;0,33;25,57;2,58;71,53;1853,41;;;
Lucas do Rio Verde (MT);3101;42455;24918;39,21;37,54;41,3;19,67;17,19;19,5;22,49;10,77;47,08;1536,4;;;
Lucélia (SP);2663;17219;8998;13,58;12,28;12,31;6,5;6,58;6,91;19,24;21,17;53,09;967,02;;;
Lucena (PB);1578;10152;3925;11,91;11,15;9,61;6,6;6,94;8,96;35,66;31,28;26,46;1082,55;;;
Lucianópolis (SP);469;1780;1144;12,38;11,62;14,91;27,84;24,38;39,94;5,28;34,11;32,77;1113,34;;;
Luciara (MT);195;2029;818;8,03;8,49;9,17;19,67;20,16;23,19;2,44;54,96;22,94;895,88;;;
Lucrécia (RN);1353;2280;1437;6,98;7,44;5,89;4,35;3,37;4,16;16,88;55,1;23,67;879,72;;;
Luís Antônio (SP);385;10901;5454;86,13;50,68;49,43;4,41;6,05;7,9;69,36;4,42;21,81;1905,85;;;
Luisburgo (MG);4398;1836;2973;8,07;7,99;7,56;41,11;38,54;39,11;5,38;34,21;19,31;797,32;;;
Luís Correia (PI);15761;12645;9507;5,82;5,73;5,78;12,56;11,93;11,77;5,44;47,75;34,25;496,31;;;
Luís Domingues (MA);1007;5503;1996;4,07;3,55;3,63;20,61;20,1;21,11;3,96;52,45;22,98;711,94;;;
Luís Eduardo Magalhães (BA);5224;54881;30707;39,39;39,91;32,49;16,41;16,35;10,26;21,97;6,62;55,01;1297,99;;;
Luís Gomes (RN);2924;6686;2535;4,78;4,49;4,12;4,2;1,3;1,04;2,42;69,5;23,89;1074,76;;;
Luislândia (MG);3411;2989;2228;4,87;4,84;4,94;9,63;11,77;11,62;5,37;56,53;28,48;858,61;;;
Luiz Alves (SC);7182;3256;5871;32,36;29,22;29,38;16,59;16,49;15,85;42,25;11,08;30,08;1304,93;;;
Luiziana (PR);2559;4756;3203;27,3;24,55;21,48;51,09;47,8;45,52;4,68;12,5;31,72;1235,3;;;
Luiziânia (SP);419;4611;2440;8,46;7,87;8,26;21,84;19,44;28,68;6,04;33,71;38,41;1036,68;;;
Luminárias (MG);1256;4166;2490;7,85;7,97;8,9;29,28;22,16;30,22;5,33;33,27;32,11;773,45;;;
Lunardelli (PR);1566;3594;2506;9,13;9,83;9,65;29,46;27,85;29,9;4,63;35,85;30,05;1089,82;;;
Lupércio (SP);488;3865;2148;9,22;7,65;7,58;22,98;18,36;20,19;7,93;34,6;34,49;1322,17;;;
Lupionópolis (PR);513;4079;2314;11,74;12,69;12,56;21,74;21,31;20,94;7,99;29,29;40,98;1132,89;;;
Lutécia (SP);556;2158;1310;21,18;20,61;21,43;52,93;51,62;56,97;8,5;18,89;19,67;1122,79;;;
Luzerna (SC);1341;4259;3131;25,34;19,12;18,12;10,84;13,19;14,2;42,52;14,49;32,16;1566,52;;;
Luziânia (GO);11724;162807;81158;12,74;12,48;11,6;9,41;9,58;10,57;29,22;20,74;40,64;1255,22;;;
Luzilândia (PI);11453;13268;8857;5,16;4,86;4,93;8,1;7,11;7,95;6,09;53,6;32,21;866,2;;;
Luzinópolis (TO);947;1675;1003;8,02;7,97;7,83;24,72;21,86;23,2;5,36;52,38;17,54;987,04;;;
Luz (MG);1777;15709;8930;18,12;17,05;15,56;15,54;14,26;19,47;15,4;15,88;53,18;1032,51;;;
Macaé (RJ);3869;202859;108184;73,42;60,53;48,74;0,25;0,3;0,35;45,32;13,17;41,27;4362,5;;;
Macaíba (RN);26836;42631;28413;13,9;13,45;11,22;1,38;1,63;2,25;37,01;26,74;34,88;1048,8;;;
Macajuba (BA);4358;6871;3700;4,11;3,96;3,98;12,45;12,33;12,05;5,63;55,43;26,49;1190,54;;;
Maçambará (RS);3428;1310;2107;29,06;31,08;32,76;61,55;63,77;67,03;6,48;14,31;17,66;1280,91;;;
Macambira (SE);3338;3063;2677;5,82;6,37;6,12;15,76;15,28;15,44;5,36;58,78;20,11;906,41;;;
Macapá (AP);16990;381214;177238;15,65;14,44;13,24;0,6;0,59;0,62;9,46;39,84;50,1;2324,04;;;
Macaparana (PE);9092;14833;8609;6,76;6,49;6,52;15,83;15,34;16,15;3,5;43,26;37,41;948,57;;;
Macarani (BA);3454;13639;7087;5,83;5,65;5,34;31,01;28,51;26,78;3,21;39,05;26,73;853,17;;;
Macatuba (SP);483;15776;7952;21,92;23,77;24,31;5;3,72;5,37;14,14;14,26;66,59;1672,25;;;
Macaubal (SP);890;6773;3775;12,71;11,89;11,8;23,34;19,08;23,58;6,06;22,33;48,27;3020,65;;;
Macaúbas (BA);31640;15411;17389;4,26;4,26;4,23;6,76;6,67;8,29;4,98;50,52;37,74;1136,99;;;
Macau (RN);6988;21966;11930;23,38;18,25;11,43;3,44;3,77;6,25;55,24;14,72;26,6;869,08;;;
Macedônia (SP);887;2777;1964;12,65;11,97;12,73;30,24;27,4;35,37;15,31;26,95;27,5;1190,24;;;
Maceió (AL);619;932129;429331;14,3;14,73;13,85;0,73;0,74;0,89;19,06;17,34;62,87;1641,6;;;
Machacalis (MG);1227;5749;2827;6,02;6,16;6,73;14,94;14,1;14,37;4,81;44,7;35,55;913,58;;;
Machadinho D'Oeste (RO);14962;16173;13657;9,18;8,78;8,98;24,44;25,2;26,58;9,78;41,86;23,92;1106,04;;;
Machadinho (RS);2125;3385;2664;16,73;17,28;18,44;39,82;34,48;38,92;7,22;19,23;33,73;1257,05;;;
Machado (MG);6620;32068;19428;14,65;14,92;14,98;11,82;11,06;15,5;16,67;18,87;52,64;1050,49;;;
Machados (PE);5142;8454;3809;6,03;4,78;7,78;20,88;11,52;38,3;3,23;46,08;29,8;879,7;;;
Macieira (SC);1325;501;899;17,91;16,46;20,49;40,53;44,41;52,14;10,27;27;22,19;1066,45;;;
Macuco (RJ);676;4593;2242;18,47;17,85;18,87;2,71;2,64;2,27;18,19;39,55;39,55;1783,11;;;
Macururé (BA);5213;2860;3126;3,44;3,39;3,25;9,95;10,61;10,02;4,01;58,38;27,66;548,57;;;
Madalena (CE);9173;8915;5148;4,64;4,69;4,32;18,11;18,4;16,65;2,14;54,22;25,52;840,73;;;
Madeiro (PI);4452;3364;2190;3,82;3,75;3,79;8,58;8,41;8,51;3;69,35;19,07;908,21;;;
Madre de Deus (BA);522;16854;7809;16,24;17,54;14,62;0,46;0,47;0,6;19,14;32,08;48,31;1828,62;;;
Madre de Deus de Minas (MG);1172;3732;2184;14,22;15,6;23,54;38,51;41,14;50,92;10,91;20,94;29,65;998,33;;;
Mãe D'Água (PB);2450;1569;1582;5,08;4,99;4,94;3,82;3,14;3,52;2,24;72,72;21,22;969,03;;;
Mãe do Rio (PA);4852;23052;10311;7,23;6,9;6,46;9,38;8,78;11,17;9,88;37,03;43,71;916,57;;;
Maetinga (BA);4221;2817;3114;5,71;6,06;6,38;7,57;6,95;7,54;5,42;53,05;33,97;914,18;;;
Mafra (SC);11594;41318;27936;20,67;17,7;17,34;12,26;12,31;14,71;24,43;14,27;49,05;1380,8;;;
Magalhães Barata (PA);4320;3795;2405;5,29;5,21;5,21;35,17;32,96;30,33;3,84;41,72;19,27;884,14;;;
Magalhães de Almeida (MA);8624;8963;6066;4,29;3,55;3,72;23,94;16,83;16,08;4,96;47,34;23,77;739,89;;;
Magda (SP);545;2655;1545;17,22;15,15;14,11;37,07;26,98;23,62;6,28;23,78;32,87;1430,87;;;
Magé (RJ);12086;215236;100204;11,08;10,99;10,36;1,13;1,2;1,15;11,81;43,06;44;1254,17;;;
Maiquinique (BA);1866;6916;3685;6,35;6,36;6,09;23,87;24,99;23,18;15,25;35,53;25,35;951,15;;;
Mairi (BA);8211;11115;8379;4,34;4,5;4,34;12,54;14,64;14,2;4,24;46,39;36,83;1250,15;;;
Mairinque (SP);8533;34690;20403;26,65;25,56;25,85;1,11;1,23;1,16;44,55;13,31;41,03;1511,05;;;
Mairiporã (SP);10206;70750;38198;13,13;12,12;11,58;0,09;0,09;0,11;22,82;21,43;55,65;1364,73;;;
Mairipotaba (GO);804;1570;1080;12,99;13,5;15,33;43,71;49,92;53,58;4,48;31,55;20,26;894,64;;;
Major Gercino (SC);2030;1249;1761;9,73;8,82;8,99;22,19;17,01;13,84;11,85;37,15;28,81;1053,29;;;
Major Isidoro (AL);9591;9306;6752;5,46;5,64;5,41;17,48;17,72;19,13;3,52;48,44;30,55;1074,35;;;
Major Sales (RN);636;2900;1177;6,34;6,11;5,27;20,86;14,49;3,37;1,84;60,86;16,44;974,37;;;
Major Vieira (SC);4518;2961;3369;18,59;15,81;15,65;45,62;42,87;42,07;10,58;16,46;27,34;1189,38;;;
Malacacheta (MG);6958;11818;7485;6,76;6,75;6,63;16,35;17,88;17,95;8,54;39,24;35,88;979,21;;;
Malhada (BA);9455;6559;5642;5,09;5,1;4,75;25,55;25,19;24,93;5,94;44,21;24,3;287,9;;;
Malhada de Pedras (BA);5234;3234;3281;4,32;4,23;4,17;10,42;11,86;9,76;5,37;52,99;31,22;865,3;;;
Malhada dos Bois (SE);1856;1600;1226;9,71;9,15;9,2;5,8;5,27;5,97;5,46;49,65;39,09;999,48;;;
Malhador (SE);6416;5626;5372;6,75;6,54;6,61;26,53;26,87;25,87;4,58;48,62;20,26;1092,14;;;
Mallet (PR);5403;7570;6440;28,6;27,85;29,45;25,58;23,89;21,31;43,46;9,49;21,48;1310,63;;;
Malta (PB);708;4905;1887;5,48;5,57;5,56;4,85;4,94;5,38;5,89;63,32;25,94;865,82;;;
Mamanguape (PB);8069;34234;15056;8,56;8,81;9,09;12,5;8,45;10,24;12,63;37,89;36,98;1026,86;;;
Mambaí (GO);2069;4802;2520;7,15;6,41;6,26;3,81;3,64;4,22;6,03;42,84;47,32;898,47;;;
Mamborê (PR);4977;8984;6357;25,77;24,46;25,3;37,96;35,56;38,24;4,19;13,27;44,58;1209,22;;;
Mamonas (MG);3509;2812;2487;4,32;4,35;4,68;7,66;7,05;9,99;3,6;61,49;27,25;914,5;;;
Mampituba (RS);2435;568;1543;11,04;11,36;11,38;42,77;43,97;48,3;5,9;34,63;16,7;1217,01;;;
Manacapuru (AM);24967;60174;31146;10,7;10,85;8,65;49,12;50,7;42,98;7,21;25,16;18,52;1118,09;;;
Manaíra (PB);4732;6027;3727;4,26;4,14;4,27;6,89;4,19;4,75;3,15;69,09;20,87;959,54;;;
Manaquiri (AM);15739;7062;7367;5,92;5,88;5,66;39,29;42,96;42,08;3,91;46,04;10,76;980,49;;;
Manari (PE);14265;3818;8055;3,89;3,61;3,6;7,31;5,17;4,67;2,4;70,72;19,56;1046,22;;;
Manaus (AM);9133;1792881;813203;26,27;23,53;22,28;0,38;0,38;0,37;40,71;13,6;45,3;1841,41;;;
Mâncio Lima (AC);6456;8750;4723;8,8;7,57;7,17;25,6;22,63;23,33;6,91;54;13,49;1138,12;;;
Mandaguaçu (PR);2196;17585;10098;15,09;15,36;15,33;17,4;15,99;17,93;12,45;20;50,16;1231,88;;;
Mandaguari (PR);1724;30934;17270;24,42;24,55;25,73;10,36;12,11;12,56;39,72;13,42;36,5;1241,87;;;
Mandirituba (PR);14806;7414;10924;17,69;15,97;14,43;17,97;18,02;21,39;27;17,14;37,89;1221,01;;;
Manduri (SP);1214;7778;4657;11,34;11,63;12,28;19,92;22,99;26,72;11,5;25,17;43,41;991,64;;;
Manfrinópolis (PR);2475;652;1488;12,04;11,7;12,49;52,11;49,62;52,51;2,95;31,22;13,71;1046,52;;;
Manga (MG);5965;13848;7279;6,98;6,98;7,02;14,1;13,8;16,24;5,19;40,26;40,45;807,39;;;
Mangaratiba (RJ);4336;32120;17300;59,26;65,49;61,59;0,57;0,54;0,51;5,27;12,58;81,58;1421,96;;;
Mangueirinha (PR);8654;8394;7751;37,59;44,94;65,14;15,11;13,08;10,35;53,5;7,89;23,49;1157,36;;;
Manhuaçu (MG);14735;64839;38751;16,6;16,26;15,76;4,88;5,2;5,26;22,72;16,78;55,62;1021,93;;;
Manhumirim (MG);4339;17043;10002;12,9;13,28;12,44;7,86;8;6,79;4,8;22,52;64,82;949,97;;;
Manicoré (AM);26668;20349;16737;6,93;6,7;5,88;36,89;38,93;32;6,15;40,2;16,77;1083,65;;;
Manoel Emídio (PI);1898;3315;1228;5,04;4,92;4,82;10,95;12;9,67;4,57;55,75;28,73;815,87;;;
Manoel Ribas (PR);6364;6805;6898;17,16;15,87;17,26;35,12;29,5;34,08;5,52;17,27;42,09;1230,67;;;
Manoel Urbano (AC);2703;5278;2730;8,75;9,92;9,42;23,17;18,63;18,41;4,15;55,35;17,33;1162,27;;;
Manoel Viana (RS);1710;5362;3216;18,44;20,74;20,04;49,43;53,57;53,73;5,21;19,23;26,13;1090,7;;;
Manoel Vitorino (BA);7028;7359;5444;5,08;5,13;5,05;18,82;20,18;20,35;4,49;49,15;27,54;1384,73;;;
Mansidão (BA);7810;4782;3716;3,43;3,69;4,26;10,92;12;27,06;4,25;61;23,84;1043,44;;;
Mantena (MG);5853;21258;11593;8,96;8,98;8,51;8,92;9,9;7,68;9,78;30,54;50,75;970,99;;;
Mantenópolis (ES);4965;8647;5693;6,74;6,28;6,31;17,51;14,15;17,02;6,41;47,81;28,27;1187,37;;;
Maquiné (RS);4841;2064;3612;11,05;11,09;11,25;23,7;24,48;27,49;14,77;30,08;31,45;1167,89;;;
Maraã (AM);8775;8753;4544;5,05;4,81;5,18;20,21;20,35;30,03;3,97;63,46;12,36;1066,8;;;
Marabá (PA);47399;186270;97592;19,33;20,12;18,6;4,09;4,17;4,65;37,91;14,63;43,37;1465,14;;;
Marabá Paulista (SP);2670;2142;1918;19,52;16,07;17,59;46,93;39,15;46;14,47;18,36;20,25;1244,95;;;
Maracaçumé (MA);3326;15829;6334;4,74;4,73;4,95;12,15;12,45;13,71;4,64;41,05;42,17;993,09;;;
Maracaí (SP);1247;12085;6578;22,43;23,49;24,52;13,92;14,93;17,54;28,17;14,42;43,49;1519,35;;;
Maracajá (SC);2148;4256;3383;19,42;17,44;15,98;7,19;6,88;8,36;24,91;16,73;51,17;1174,05;;;
Maracaju (MS);5181;32224;17966;33,98;34,45;34,87;33,77;36,29;35,32;11,99;12,17;42,07;1323,68;;;
Maracanã (PA);16720;11656;9277;4,98;4,71;4,86;27,08;25,95;29,58;3,88;51,1;17,94;919,59;;;
Maracanaú (CE);1434;207623;91366;25,18;25,74;24,05;0,1;0,08;0,11;40,93;12,84;46,13;1181,07;;;
Maracás (BA);6906;17707;10608;6,28;7,91;8,77;14,75;10,53;8,82;15,15;33,99;36,1;929,42;;;
Maragogi (AL);10124;18625;9893;10,33;9,94;10,06;33,52;27,85;29,55;4,01;24,32;38,15;1014,49;;;
