Territorialidades;% dos ocupados no setor agropecuário 2010;% dos ocupados no setor extrativo mineral 2010;Esperança de vida ao nascer 2010;População rural 2010;População urbana 2010;População economicamente ativa de 18 anos ou mais de idade 2010;Produto Interno Bruto per capita 2014;Produto Interno Bruto per capita 2015;Participação da Agropecuária no Valor Adicionado 2014;Participação da Agropecuária no Valor Adicionado 2015;Participação da Indústria no Valor Adicionado 2014;Participação da Indústria no Valor Adicionado 2015;% de cobertura vegetal natural 2014;Expectativa de anos de estudo aos 18 anos de idade 2010
Fervedouro (MG);55,25;0,13;72,73;5585;4764;3885;6,75;7,05;26,25;25,68;5,03;5,1;29,02;8,01
Figueirão (MS);46,99;;74,79;1398;1530;1388;19,04;20,49;50,92;55,37;3,85;4,2;30,62;8,72
Figueira (PR);27,05;6,7;73,05;1202;7091;3191;10,17;11,02;16,85;16,21;24,05;27,58;19,87;10,72
Figueirópolis D'Oeste (MT);45,47;;72,16;1786;2010;1701;10,89;11,06;29,16;29,32;6,11;6,31;20,68;8,2
Figueirópolis (TO);37,72;0,11;74,32;1286;4054;2608;19,16;18,42;36,05;41,76;13,06;8,9;48,77;9,38
Filadélfia (BA);48,8;;68,56;7718;9022;5937;4,61;4,69;7,16;11,83;8,9;6,26;20,67;8,66
Filadélfia (TO);40,07;0,37;72,52;2967;5538;2792;7,6;7,17;21,08;21,98;8,95;5,87;73,19;9,38
Firmino Alves (BA);23,34;;66,93;1047;4337;2208;5,23;5,44;18,56;22,02;5,69;5,49;15,06;7,44
Firminópolis (GO);22,5;0,11;75,27;2802;8778;5167;8,76;8,28;24,8;23,58;6,64;5,71;11,28;10,52
Flexeiras (AL);41,32;0,51;66,59;4308;8017;3874;5,59;5,54;33;33,77;2,77;3,7;19,11;8,75
Floraí (PR);26,43;;76,15;578;4472;2647;22,56;20,88;39,81;40,09;13,95;10,58;5,83;10,61
Florânia (RN);33,94;0,74;71,51;2102;6857;3766;6,28;6,41;11,84;11,5;3,85;4,4;78,83;9,28
Flora Rica (SP);34,85;;72,74;334;1418;742;14,83;14,26;37,49;39,15;4,87;4,94;2,36;12,45
Flor da Serra do Sul (PR);53,37;;74,97;3082;1644;2453;15,91;14,71;50,57;45,9;4,3;4,33;24,7;10,89
Flor do Sertão (SC);61,2;0,24;72,52;1260;328;966;16,29;15,31;40,47;39,93;11,87;8,4;27,39;10,66
Floreal (SP);17,08;;73,49;564;2439;1449;16,61;12,13;40,85;24,32;7,52;9,99;5,3;9,89
Flores da Cunha (RS);19,05;0,15;75,95;6271;20855;17029;34,04;32,13;7,49;8,11;43,48;41,28;56,73;9,67
Flores de Goiás (GO);46,71;0,59;72,96;8896;3170;4310;7,05;6,59;37,14;37,16;3,84;3,69;47,98;8,48
Flores do Piauí (PI);57,56;;67,26;2379;1987;1472;4,99;5,24;12,09;9,99;4,61;4,01;91,89;7,95
Flores (PE);55,42;0,3;69,67;12805;9364;7084;4,35;3,9;9,17;4,53;4,02;4,8;68,76;8,82
Floresta Azul (BA);29,64;;68,88;3317;7343;3253;5,04;5,13;24,15;24,69;4,8;6,11;30,05;7,69
Floresta do Araguaia (PA);49,49;2,08;72,52;9054;8714;6285;13;12,42;35,8;47,05;27,49;14,1;33,98;7,98
Floresta do Piauí (PI);48,59;;70,2;1621;861;811;5,39;4,93;9,34;10,68;3,45;3,27;68,42;8,82
Florestal (MG);26,73;0,61;75,69;1096;5504;3518;10,36;10,13;12,92;13,04;10,15;8,88;40,09;9,79
Floresta (PE);37,56;0,1;71,52;9312;19973;12121;9,22;8,16;4,12;4,86;5,42;4,69;57,74;9,02
Floresta (PR);14,53;0,27;73,93;461;5470;3151;17,04;16,95;30,44;27,29;8,5;8,68;2,81;10,46
Florestópolis (PR);17,73;;73,44;678;10544;5459;13,44;13,52;17,25;20,51;25,82;24,26;11,31;10,32
Floriano Peixoto (RS);81,36;;76,23;1726;292;1323;19,68;18,49;51,91;51,07;4,55;4,85;31,78;10,5
Floriano (PI);11,92;0,23;73,13;7720;49970;25981;12,23;11,29;1,75;1,75;10,4;8,7;95,42;9,59
Florianópolis (SC);1,25;0,1;77,35;15954;405286;235479;28,85;27,08;0,32;0,31;11,07;10,59;33,21;10,79
Flórida Paulista (SP);25,33;;73,44;2711;10137;5508;10,57;9,28;26,27;20,72;12,02;11,77;3,15;10,76
Flórida (PR);30,41;0,35;73,96;221;2322;1355;12,7;13,52;24,32;24,32;10,11;10,35;2,87;11,14
Florínia (SP);22,43;;74,19;317;2512;1132;30,64;29,53;23,94;26,32;5,19;4,65;2,94;7,92
Fonte Boa (AM);55,49;0,11;68,13;7702;15115;7176;5,6;5,45;18,19;19,32;4,81;3,88;94,26;7,37
Fontoura Xavier (RS);53,73;0,63;73,69;6619;4100;5064;11,56;10,75;27,39;23,9;5,16;5,42;60,79;9,69
Formiga (MG);10,85;0,26;77,43;5641;59487;32283;15,01;14,18;5,83;5,85;18,39;17,73;17,11;9,5
Formigueiro (RS);50,77;0,11;75,3;4245;2769;3279;16,04;17,61;36,29;34,48;10,2;9,75;40,72;10
Formosa da Serra Negra (MA);55,73;0,1;71,41;11842;5915;4806;4,65;4,41;33,28;28,83;3,93;4,1;87,34;8,1
Formosa do Oeste (PR);37,52;;75,17;2571;4970;3789;22,41;23,23;42,63;40,31;4,59;4,98;7,05;10,72
Formosa do Rio Preto (BA);38,27;;70,8;8881;13647;7519;42,89;45,68;66,39;65,02;5,14;5,84;63,34;8,48
Formosa do Sul (SC);53,38;;75,71;1517;1084;1279;14,83;12,3;34,77;37,52;10,23;6,12;34,14;10,12
Formosa (GO);13,17;0,19;76,14;8062;92023;49731;12,24;12,45;7,83;7,42;11,69;13,44;65,58;10,25
Formoso do Araguaia (TO);25,92;0,13;73,05;5094;13333;7610;13,71;13,77;37,23;37,19;9,7;7,86;87,1;9,16
Formoso (GO);30,25;0,84;75,03;1276;3607;1961;9,27;8,88;28,43;31,83;7,01;4,63;61,69;10,09
Formoso (MG);42,12;0,56;75,04;3004;5173;3552;14,46;12,83;46,03;45,81;5,03;4,8;81,07;8,57
Forquetinha (RS);62,21;;78,13;2011;468;1749;12,57;11,49;38,08;39,27;10,45;9,01;53,54;10
Forquilha (CE);21,21;0,21;70,62;6313;15473;8971;4,63;4,65;6,78;6,63;13,04;8,06;89,09;10,3
Forquilhinha (SC);12,19;2,7;76,64;4122;18426;12653;23,56;21,43;7,64;6,57;45,81;36,83;8,24;10,13
Fortaleza (CE);0,8;0,14;74,41;;2452185;1188080;17,17;15,94;0,09;0,07;16,75;17,86;15;10,04
Fortaleza de Minas (MG);31,33;14,37;73,31;1148;2950;1846;18,02;15,55;16,43;15,17;35,23;30,95;11,5;7,69
Fortaleza dos Nogueiras (MA);41,37;;71,38;4627;7019;3894;8,03;7,33;37,21;35,71;8,34;6,61;81,91;8,65
Fortaleza dos Valos (RS);37,3;;75,23;1582;2993;2237;41,49;38,02;44,75;49,03;3,63;3,5;8,78;10,06
Fortaleza do Tabocão (TO);23,6;;73,5;451;1968;963;37,35;38,83;12,46;10,49;4,37;3,57;46,19;10,04
Fortim (CE);40,27;0,42;69,06;5209;9608;5475;6,52;6,41;23,63;18,34;4,32;5,8;56,42;9,44
Fortuna de Minas (MG);23,84;3,2;75,7;840;1865;1393;9,34;8,22;20,35;16,31;10,9;9,18;33,62;9,29
Fortuna (MA);46,44;;67,33;5594;9504;4762;5,17;4,23;27,76;19,42;5,32;5,8;76,02;9,48
Foz do Iguaçu (PR);2,26;0,04;76,46;2126;253962;126805;27,52;32,84;0,61;0,51;45,84;56,26;30,95;10,09
Foz do Jordão (PR);26,02;0,11;74,7;1493;3927;2140;12,33;12,09;37,44;35,81;8,86;11,8;24,25;9,26
Fraiburgo (SC);29,68;0,15;76,58;4262;30291;15984;17,59;17,46;17,57;21,76;23,2;18,76;28,53;10,15
Franca (SP);2,45;0,04;75,5;5594;313046;169067;18,72;19,54;0,84;0,5;21,79;29,55;25,48;11,19
Francinópolis (PI);46,43;;68,31;1960;3275;1422;4,45;4,33;7,55;6,1;4,66;4,14;98,85;8,99
Francisco Alves (PR);34,47;;72,16;2184;4234;2874;15,7;16,7;43,43;42,79;3,96;4,47;5,55;10,58
Francisco Ayres (PI);32,81;;70,38;2323;2154;1165;5,11;5,46;14,94;24,81;4,67;3,27;87,67;7,82
Francisco Badaró (MG);65,46;0,23;72,57;7057;3191;4833;4,22;4,14;6,86;5,93;2,63;2,68;33,32;9,9
Francisco Beltrão (PR);15;0,18;75,65;11494;67449;43712;22,32;21,88;6,81;6,46;23,55;22,54;25,08;11,26
Francisco Dantas (RN);48,46;;68,91;1227;1647;1338;6,99;5,75;6,69;6,53;22,59;5,63;45,54;8,12
Francisco Dumont (MG);43,6;0,64;72,8;1666;3197;2231;6,11;6,01;24,08;21,86;5,56;4,89;63,49;8,51
Francisco Macedo (PI);33,4;0,77;67,06;1720;1159;1065;4,23;4,43;5,04;5,29;3,3;3,19;70,93;9,74
Francisco Morato (SP);0,48;0,12;73,91;314;154158;69172;5,88;5,75;0,02;0,02;9,25;10,42;27,45;10,32
Franciscópolis (MG);60,26;0,67;73,14;3402;2398;2237;7,56;7,02;20,23;20,17;19,09;14,92;19,43;8,36
Francisco Sá (MG);39,41;1,45;73,48;10015;14897;10176;9,41;8,24;14,47;12,91;6,15;5,17;44,17;10,17
Francisco Santos (PI);51,41;;70,21;4613;3979;3700;4,47;4,56;5,16;7,54;3,97;3,39;61,12;8,59
Franco da Rocha (SP);1,2;0,08;76,09;10360;121244;60244;13,91;12,2;0,12;0,13;33,31;26,02;39,96;10,2
Frecheirinha (CE);34,71;;69,78;5355;7636;4725;9,23;10,16;4,81;2,86;37,28;43,37;89,07;9,36
Frederico Westphalen (RS);17,14;0,18;75,76;5510;23333;15994;22,55;21,9;7,88;6,93;19,59;19;23,94;10,87
Frei Gaspar (MG);56,84;0,43;72,96;3963;1916;2279;5,93;6,06;29,26;26,99;2,74;3,31;21,34;8,36
Frei Inocêncio (MG);20,39;0,44;71,72;2156;6764;3659;7,9;6,43;13,5;11,68;12,98;7,32;3,73;10,16
Frei Lagonegro (MG);58,6;;69,96;2711;618;1016;5,38;5,25;17,94;15,84;2,88;2,97;39,24;7,26
Frei Martinho (PB);39,36;4,64;71,18;1126;1807;1249;5,92;6,02;4,52;4,17;4,12;5,43;80,32;10,01
Frei Miguelinho (PE);48,45;0,04;70,47;10904;3389;5580;4,41;4,36;4,17;5,02;5,08;5,36;10,94;8,48
Frei Paulo (SE);25,68;;71,09;5661;8213;6123;10,63;9,52;17,48;16,02;24,35;21,37;6,61;7,1
Frei Rogério (SC);67,49;;73,74;1768;706;1116;14,58;16,85;39,97;43,94;9,36;8,01;28,33;11,06
Fronteira dos Vales (MG);45,31;;73,8;1649;3038;1541;4,73;4,82;12,75;12,08;2,82;3,11;33,76;8,2
Fronteira (MG);19,73;0,51;77,28;946;13095;6708;19,91;29,56;3,81;2,05;58,56;73,28;16,06;8,84
Fronteiras (PI);29,82;0,31;69,86;3829;7288;4004;16,25;11,39;2,08;5,09;59,64;44,23;64,61;9,55
Fruta de Leite (MG);64,37;0,32;72,5;3904;2036;2377;4,6;4,39;11,32;9,72;2,8;2,98;84,29;8,88
Frutal (MG);18,98;0,04;76,92;7379;46089;26617;19,09;17,64;18,02;15,03;16,76;16,34;14,61;8,64
Frutuoso Gomes (RN);34,45;0,26;69,24;1421;2812;1559;5,54;5,91;5,89;5,09;4,44;5,18;72,42;9,33
Fundão (ES);18,85;1,09;75,34;2647;14378;8264;18,3;15,66;4,12;4,42;43,79;36;26,03;8,83
Funilândia (MG);24,53;0,83;75,66;1826;2029;1411;8,01;8,06;26,73;20,1;7,13;9,39;33,87;8,88
Gabriel Monteiro (SP);24,84;;73,54;451;2257;1524;17,22;13,31;20,04;20,01;25,77;15,17;2,62;10,07
Gado Bravo (PB);70,46;;69,22;7468;908;2259;4,71;4,65;12,52;12,74;1,84;2,85;42,23;8,36
Gália (SP);33,44;;74,36;1786;5225;3443;11,87;10,84;22,59;19,39;17,92;14,05;19,32;11,09
Galiléia (MG);24,8;3,57;72,71;1259;5692;2603;7,97;8;19,06;16,12;10,47;10,85;1,65;9,68
Galinhos (RN);30,62;1,37;68,39;921;1238;851;16,11;18,27;19,51;18,48;19,04;31,63;65,01;8,53
Galvão (SC);46,4;0,39;73,91;1125;2347;1726;14,68;15,05;32,01;33,36;8,68;9,21;18,14;10,71
Gameleira de Goiás (GO);51,9;;74,68;2181;1094;1692;21,09;19,91;56,1;56,56;5,79;5,77;27,22;9,68
Gameleira (PE);35,43;;70,54;8408;19504;7876;5,02;4,7;12,99;17,17;2,67;2,92;15,71;9,24
Gameleiras (MG);53,05;0,99;72,74;3726;1413;2209;5,14;5,14;16,31;14,44;2,85;3,01;59,62;9,95
Gandu (BA);31,02;0,35;71,26;5488;24848;13812;6,5;6,78;10,97;15,63;6,36;6,16;74,54;7,72
Garanhuns (PE);14,47;0,11;72,69;14052;115356;53441;10,79;10,48;1,43;2,37;10,74;12,82;14,62;9,26
Gararu (SE);65,35;0,14;71,95;8573;2832;3649;6,02;6,27;20,61;19,82;4,16;4,06;22,43;8,55
Garça (SP);13,67;;75,93;3923;39192;21156;17,6;16,93;6,43;6,47;19,7;20,38;13,64;11
Garibaldi (RS);11,91;0,21;76,35;3478;27211;18761;39,46;36,89;2,39;2,59;47,56;45,37;55,93;10,42
Garopaba (SC);8,1;;77,07;2818;15320;9134;15,55;15,08;2,64;2,87;15,37;13,96;44,67;10,89
Garrafão do Norte (PA);59;;70,75;16427;8607;9390;5,67;5,48;27,29;28,83;4,19;4,53;33,28;7
Garruchos (RS);55,19;;74,96;2177;1057;1597;22,27;23,86;52,45;56,8;3,64;3,66;64,01;11,02
Garuva (SC);15,08;0,71;74,82;3310;11451;7441;35,14;28,6;3,26;3,21;50,89;46,85;77,33;10,05
Gaspar (SC);3,1;0,16;78,34;10855;47126;32018;30,94;26,44;0,98;1,09;48,89;44,86;61,1;9,47
Gastão Vidigal (SP);46,56;0,1;74,03;437;3756;2243;8,47;8,44;21,26;23,74;5,33;5,33;6,29;10,31
Gaúcha do Norte (MT);43,11;;75,79;4097;2196;2062;38,49;31,99;61,5;53,1;4,33;4,76;78,13;5,71
Gaurama (RS);45,33;0,49;76,09;2474;3388;3369;21,89;22,8;29,21;25,53;19,37;26,57;23,99;11,08
Gavião (BA);48,13;;69,79;2023;2538;2191;5,3;5,86;17,95;21,09;4,7;4,66;1,21;9,34
Gavião Peixoto (SP);33,18;0,23;73,14;844;3575;2305;19,1;116,04;28,27;1,57;10,77;65,94;9,57;10,91
Geminiano (PI);51,3;;70,32;4259;1216;2027;5,54;5,66;12,24;15,2;21,64;18,36;69,79;8,67
General Câmara (RS);39,18;0,26;74,92;3481;4966;3749;11,48;11,54;37,57;39,3;5,54;4,39;56,57;9,11
General Carneiro (MT);41,77;;74,17;2669;2358;1976;27,79;25,08;65,24;62,65;3,98;4,61;57,65;10
General Carneiro (PR);34,62;0,12;73,95;4100;9569;5316;14,99;13,84;42,11;39,46;7,83;8,06;60,93;9,71
General Maynard (SE);14,14;4,58;71,53;1086;1843;1156;7,22;6,53;2,56;2,81;9,25;6,52;9,64;9,75
General Salgado (SP);22,42;;73,5;1585;9084;5377;22,68;31,26;8,91;5,5;21,16;47,95;5,92;11,26
General Sampaio (CE);34,51;;69,65;2570;3648;2106;5,15;4,87;14,1;12,32;5,82;3,98;89,05;9,61
Gentil (RS);63,78;;76,76;954;723;1034;40,5;40,4;50,74;50,97;4,08;3,61;18,89;10,51
Gentio do Ouro (BA);47,53;1,78;69,57;5272;5350;3096;3,66;3,64;8,08;6,23;5,19;5;88,68;7,93
Getulina (SP);28,08;0,11;73,76;2431;8334;4390;11,9;10,15;34,21;26,78;5,93;6,62;6,1;10,66
Getúlio Vargas (RS);19,69;0,06;75,55;2292;13862;8663;21,05;19,84;15,34;14,66;18,25;16,46;13,51;10,01
Gilbués (PI);35,52;0,9;70,18;4411;5991;3087;12,37;12,22;51,3;50,59;4,65;4,94;80,11;6,81
Girau do Ponciano (AL);71,16;0,09;70,72;25302;11298;13343;4,51;4,69;21,19;21,53;2,64;2,79;13,54;9,09
Giruá (RS);29,89;;75,52;4168;12907;7630;26,05;25,69;33,71;31,31;10,71;11,6;7,36;10,82
Glaucilândia (MG);53,16;;73,72;1914;1048;1360;5,93;5,8;10,9;12,39;8,28;7,2;26,34;8,14
Glicério (SP);19,03;0,61;76,47;1203;3362;2209;13,09;12,31;28,63;20,9;13,08;18,73;3,27;10,97
Glória (BA);52,5;0,43;71,51;12249;2827;5477;6,47;6,6;36,1;38,26;7,05;6,22;43,99;9,12
Glória de Dourados (MS);28,14;;74,29;2257;7670;4787;11,73;11,61;24;24,24;5,44;7,41;2,86;10,66
Glória D'Oeste (MT);41,91;0,47;74,4;988;2147;1390;13,18;16,43;38,97;46,65;3,78;5,5;38,7;10,63
Glória do Goitá (PE);54,55;0,08;70,88;13585;15434;12079;9,62;8,98;8,41;9,5;31,96;32,17;2,7;9,12
Glorinha (RS);21,77;0,08;76,54;4824;2067;3438;33,97;34,41;6,14;5,92;52,55;53,78;40,11;10,66
Godofredo Viana (MA);51,53;18,66;70,02;3912;6723;4409;10,33;7,7;7,56;9,4;51,98;45,1;63,08;9,09
Godoy Moreira (PR);66,92;;74,66;1790;1547;1712;9,81;9,93;38,39;38,97;4,17;4,44;12,46;12,83
Goiabeira (MG);26,43;0,54;72,91;580;2473;1082;6,83;6,94;13,03;11,52;4,93;4,36;1,96;6,95
Goianá (MG);24,76;;75,1;690;2969;1728;9,18;8,8;10,62;9,03;6,75;6,33;12,55;9,46
Goiana (PE);12,64;0,08;71,75;17619;58025;29042;24,31;36,08;7,54;6,68;46,45;47,93;28,6;9,86
Goianápolis (GO);37,19;0,11;74,47;1004;9691;4956;10,96;9,98;13,86;13,06;16,5;14,41;37,16;9,24
Goiandira (GO);21,32;1;75,93;727;4538;2510;12,25;12,8;24,64;23,18;12,81;21,32;32,24;10,43
Goianésia do Pará (PA);24,84;0,22;69,58;9354;21082;10794;6,72;6,17;17,72;23,08;12,9;9,47;53,68;7,3
Goianésia (GO);13,19;2,08;75,39;3889;55660;30222;12,71;12,06;6,69;7,22;19,07;18,7;39,78;10,21
Goiânia (GO);1,44;0,1;75,28;4925;1297076;719667;25,75;23,53;0,09;0,08;20,56;17,8;24,41;10,08
Goianinha (RN);15,48;;72;7004;15477;8083;8,29;8,45;8,11;8,55;6,92;6,91;18,72;9,05
Goianira (GO);5,3;0,06;74,87;609;33451;16735;13,18;12,46;2,32;1,86;35,16;27,71;23,14;9,38
Goianorte (TO);54,06;;73,31;2196;2760;2004;7,87;7,8;30,4;32,21;2,59;2,23;64,02;8,9
Goiás (GO);22,63;0,48;73,27;6089;18638;11756;13,57;11,55;20,47;23,06;8,84;6,62;37,13;10,28
Goiatins (TO);41,97;;70,87;7115;4949;3612;8,05;7,56;30,23;29,68;4,79;3,75;94,32;8,28
Goiatuba (GO);14,43;0,12;74,47;2551;29941;16372;26,85;28,39;25,6;26,17;16,62;19,42;16,66;9,82
Goioerê (PR);14,67;;75,97;3776;25242;14029;17,93;17,47;15,82;14,54;12,58;11,91;9,81;10,88
Goioxim (PR);71,7;;73,75;5747;1756;3597;15,02;13,53;56,04;48,31;3,49;3,73;29,97;11,29
Gonçalves Dias (MA);55,17;0,06;70,46;9712;7770;5163;4,33;4,42;21,01;16,65;5,15;5,77;74,57;8,86
Gonçalves (MG);36,8;0,73;74,96;3056;1164;2066;8,66;8,32;14,31;11,58;8,36;8,29;34,65;10,98
Gongogi (BA);44,86;0,11;71,37;2999;5358;3095;5,44;5,89;32,24;35,98;4,52;4,46;40,85;8,6
Gonzaga (MG);34,56;0,19;71,44;2684;3237;2049;5,33;4,93;11,91;7,11;7,08;5,28;32,88;10,41
Gouveia (MG);21,55;3,78;74,98;3452;8229;5041;8,26;8,15;4,96;4,85;25,12;24,19;65,13;10,3
Gouvelândia (GO);22,02;0,14;73,36;1054;3895;2411;19,35;24,22;42,3;43,7;11,71;16,64;6,1;10,19
Governador Archer (MA);54,58;0,12;66,21;3575;6630;3581;4,36;4,38;17,84;18,03;4,76;5,4;69,28;9,3
Governador Celso Ramos (SC);21,32;0,36;77,21;747;12252;6791;12,26;12,58;16,14;16,69;7,46;7,57;45,26;10,68
Governador Dix-Sept Rosado (RN);28,14;2,74;70,52;5568;6806;4143;16,44;11,19;1,44;3,03;57,19;43,85;77,12;8,79
Governador Edison Lobão (MA);24,59;0,23;70,84;8938;6957;6425;14,02;11,07;3,78;4,61;57,09;43,21;52,98;9,52
Governador Eugênio Barros (MA);53,67;0,09;69,15;11301;4690;5372;3,57;3,87;19,53;19,06;4,07;4,75;76,74;9,75
Governador Jorge Teixeira (RO);68,24;;70,71;8151;2361;4189;11,1;11,04;50,91;51,16;2,57;2,23;72,88;9
Governador Lindenberg (ES);58,41;1,25;74,35;6643;4226;5368;11,06;10,76;22,31;24,72;18,34;13,67;20,97;9,69
Governador Luiz Rocha (MA);56,39;0,15;66,51;2150;5187;2341;4,19;4,22;16,41;19,49;5;5,62;78,23;9,35
Governador Mangabeira (BA);51,72;;70,26;12401;7417;9233;5,99;7,79;13,2;8,17;6,4;32,82;6,52;9,38
Governador Newton Bello (MA);59,4;0,18;68,07;7630;4291;3801;3,54;3,78;34,7;29,39;3,78;4,7;23,25;8,19
Governador Nunes Freire (MA);37,04;;68,29;9456;15945;9220;5,19;4,83;13,45;13,35;5,54;5,78;17,82;8,3
Governador Valadares (MG);4,69;0,63;75,06;10389;253300;122810;14,29;14,1;1,13;0,91;13,71;13,32;8,4;9,47
Graça Aranha (MA);50,29;;69,86;3228;2912;1892;4,19;4,34;17,09;11,4;6,59;15,13;72,65;8,55
Graça (CE);40,62;0,14;70,28;9234;5815;3864;3,96;3,87;8,54;6,62;3,58;4,2;90,67;9,74
Gracho Cardoso (SE);62,79;;68,76;2942;2703;2012;7,07;7,03;27,15;25,45;4,97;4,89;5,35;8,15
Grajaú (MA);37,58;1,38;70,21;25052;37041;21802;6,33;5,66;18,34;18,47;9,51;8,81;80,41;9,45
Gramado dos Loureiros (RS);58,75;0,83;74,91;1743;526;1130;14,37;13,87;53,12;51,88;3,73;3,43;28,84;11,3
Gramado (RS);5,76;0,1;76,64;3260;29013;19028;34,59;34,44;0,89;0,83;21,31;18,78;79,02;10,61
Gramado Xavier (RS);78,72;;72,5;3441;529;2064;13,55;11,29;56,11;51,01;3,96;3,55;57,05;10,06
Grandes Rios (PR);47,36;;72,92;3065;3560;3364;10,96;12,82;35,02;39,37;5,66;6,12;14;10,8
Granito (PE);43,45;;71,4;3677;3178;2079;5,19;5,1;9,7;15,95;5,2;3,79;48,26;8,73
Granja (CE);55,36;;71,68;26753;25892;15999;4,17;4,35;15,4;15,66;3,63;4,91;80,8;9,46
Granjeiro (CE);37,99;;67,88;3259;1370;1824;5,44;4,87;17,31;8,79;3,51;4,43;82,01;9,31
Grão Mogol (MG);38,63;0,88;72,44;9633;5391;6387;17,04;14,59;6,21;9,52;67,69;60,04;76,37;8,92
Grão Pará (SC);50,84;0,07;75,76;3204;3019;3827;22,46;20,61;36,4;36,51;18,9;18,53;57,67;11,01
Gravataí (RS);2,19;0,05;76,74;12163;243497;125256;31,67;25,8;0,15;0,17;49,35;45,59;53,34;10,16
Gravatal (SC);11,78;0,37;77,64;6192;4443;5422;10,36;12,18;8,92;7,16;24,2;17,95;35,28;10,98
Gravatá (PE);20,28;0,21;72,63;8073;68385;31296;9,2;8,25;2,6;2,61;10,58;10,61;25,5;8,69
Groaíras (CE);36,97;;68,41;3152;7076;4343;4,69;4,48;8,78;6,78;4,3;4,54;77,83;10,37
Grossos (RN);11,29;26,85;72,39;2354;7039;3809;10,79;9,24;2,02;2,62;39,86;32,27;33,44;10,51
Grupiara (MG);26,63;;75,64;200;1173;695;12,61;12,01;21,19;21,55;6,15;5,36;13,82;8,97
Guabiju (RS);51,36;;76,4;860;738;1023;28,45;31,01;55,13;55,18;3,14;3,16;29,71;11,27
Guabiruba (SC);3,2;;77,53;1364;17066;9779;36,26;29,16;0,4;0,43;52,83;49,03;82,28;9,67
Guaçuí (ES);28,55;0,3;75,73;5450;22401;13293;11,54;11,85;6,55;6,6;8,12;15,54;23,56;8,97
Guadalupe (PI);21,65;0,35;72,65;426;9842;4190;18,32;17,78;41,73;45,16;22,47;21,68;85,99;8,96
Guaíba (RS);3,02;0,26;74,99;2140;93064;46947;40,64;38,97;0,97;1,42;27,48;32,76;57,41;10,02
Guaiçara (SP);7,21;;76,16;976;9694;5478;12,1;10,65;13,89;10,3;27,01;21,84;5,38;10,73
Guaimbê (SP);26,32;;74,77;685;4740;2604;9,07;8,84;18,68;21,65;3,46;3,87;5,41;10,49
Guairaçá (PR);47,13;;74,74;1238;4959;2810;19,56;19,85;54,62;50,42;7,14;12,08;7,09;9,57
Guaíra (PR);15,66;0,53;75,17;2498;28206;15042;18,12;17,16;14,19;12,7;11,51;10,42;14,52;10,71
Guaíra (SP);9,87;;74,46;1345;36059;18170;32,91;59,22;10,8;5,21;32,67;67,38;13,43;10,21
Guaiúba (CE);34,7;;71,05;5214;18877;8757;4,73;4,5;12,81;9,77;7,18;6,23;88,44;9,3
Guajará (AM);49,63;;70,7;6547;7427;3210;5,07;4,86;19,81;21,81;4,15;3,32;95,37;6,97
Guajará-Mirim (RO);11,33;0,21;74,39;6449;35207;16162;11,01;10,57;6,51;7,53;5,61;4,11;91,24;8,17
Guajeru (BA);58,67;0,22;71,2;8335;2077;4644;4,21;4,37;21,23;23,96;5,65;4,95;38,01;7,96
Guamaré (RN);8,36;1,44;71,13;7997;4407;4877;14,36;61,27;13;2,57;-120,64;57,81;48,73;8,45
Guamiranga (PR);70,91;;73,26;5664;2236;3914;16,8;15,73;59,94;57,83;5,56;6,24;32,44;10,3
Guanambi (BA);22,17;0,12;72,33;16268;62565;38016;9,62;9,6;2,47;2,64;19,98;18,48;19,04;9,46
Guanhães (MG);21,98;0,55;74,22;5841;25421;14642;12,83;12,58;5,29;3,94;15,36;14,73;34,8;8,86
Guapé (MG);43,65;6,23;74,86;6698;7174;6721;9,82;9,93;26,46;26,85;5,9;5,63;31,09;8,57
Guapiaçu (SP);12,89;0,14;76,93;2064;15805;9459;13,52;16,68;13,86;10,62;22,37;33,27;11,63;8,67
Guapiara (SP);49,58;2,49;73,37;10765;7233;7283;25,78;25,88;63,42;67,24;9,25;6,43;50,15;9,55
Guapimirim (RJ);3,92;0,23;73,69;1737;49746;24338;10,82;10,54;1,97;2,12;14,59;10,72;46,99;8,83
Guapirama (PR);34,54;0,55;73,32;991;2900;1750;16,58;18,19;43,02;46,21;9,8;8,52;5,06;10,07
Guapó (GO);16,82;1,12;74,58;2643;11333;6551;8,96;8,65;13,88;13,18;12,1;12,12;21,95;9,44
Guaporema (PR);21,84;;73,47;938;1281;1103;16,57;14,94;53,23;49,4;4,36;4,68;6,15;11,4
Guaporé (RS);8,74;0,13;75,22;1994;20820;14066;22,4;21,94;7,11;7,08;32,81;32,03;57,19;10
Guarabira (PB);12,45;0,13;73,73;6366;48960;22791;10,74;10,54;1,39;1,75;19,06;19,05;7,55;9,23
Guaraçaí (SP);32,11;;73,2;1781;6654;4105;17,96;17,28;40,62;39,64;4,73;5,17;7,33;11,09
Guaraciaba do Norte (CE);53,19;;71,57;20372;17403;14937;6,45;6,01;24,78;22,41;3,49;4,05;73,37;9,52
Guaraciaba (MG);52,07;0,8;72,61;7005;3218;4712;5,27;5,12;13,51;11,31;10,92;11,42;34,47;8,38
Guaraciaba (SC);48,78;0,08;77,28;5574;4924;6605;17,44;16,65;30,22;28,58;16,14;15,3;22,92;10,56
